BusinessEntityID,Año,Trimestre,Mes,Día,PhoneNumber,PhoneNumberTypeID
45,2009,Trim. 1,febrero,19,278-555-0118,1
46,2009,Trim. 1,febrero,1,173-555-0179,1
47,2009,Trim. 1,febrero,15,908-555-0159,1
48,2007,Trim. 4,diciembre,30,145-555-0130,1
49,2013,Trim. 4,noviembre,29,206-555-0180,3
50,2008,Trim. 1,enero,26,424-555-0189,3
51,2008,Trim. 1,febrero,13,984-555-0185,3
52,2014,Trim. 1,enero,31,328-555-0150,1
53,2008,Trim. 1,marzo,21,202-555-0151,1
54,2009,Trim. 4,diciembre,25,264-555-0150,3
55,2013,Trim. 4,diciembre,31,508-555-0165,3
56,2009,Trim. 1,enero,29,869-555-0119,1
57,2009,Trim. 1,febrero,16,167-555-0139,3
58,2008,Trim. 4,noviembre,28,138-555-0128,3
59,2008,Trim. 4,diciembre,17,611-555-0116,3
60,2009,Trim. 1,enero,4,768-555-0123,1
61,2009,Trim. 1,enero,11,361-555-0180,3
62,2014,Trim. 1,febrero,7,435-555-0113,3
63,2010,Trim. 1,enero,22,237-555-0128,1
64,2010,Trim. 1,febrero,16,582-555-0148,1
65,2010,Trim. 1,febrero,16,961-555-0122,1
66,2009,Trim. 4,diciembre,15,447-555-0186,3
67,2009,Trim. 1,febrero,26,407-555-0165,3
68,2009,Trim. 4,noviembre,26,931-555-0118,3
69,2009,Trim. 1,febrero,8,712-555-0170,3
70,2008,Trim. 4,diciembre,8,712-555-0119,3
71,2009,Trim. 1,febrero,8,156-555-0199,1
72,2008,Trim. 4,noviembre,24,925-555-0114,3
73,2008,Trim. 4,diciembre,12,688-555-0192,1
74,2008,Trim. 4,diciembre,31,199-555-0117,3
75,2009,Trim. 1,enero,19,984-555-0148,3
76,2009,Trim. 1,febrero,5,609-555-0153,1
77,2009,Trim. 1,febrero,24,224-555-0187,3
78,2008,Trim. 4,diciembre,8,191-555-0112,3
79,2010,Trim. 1,enero,17,680-555-0118,1
80,2010,Trim. 1,enero,10,166-555-0156,3
81,2009,Trim. 4,diciembre,22,733-555-0128,3
82,2010,Trim. 1,febrero,24,521-555-0113,1
83,2010,Trim. 1,febrero,5,425-555-0117,1
84,2010,Trim. 1,enero,29,203-555-0196,3
85,2009,Trim. 4,diciembre,4,730-555-0117,1
86,2008,Trim. 4,diciembre,29,208-555-0114,3
87,2008,Trim. 4,diciembre,15,434-555-0133,1
88,2009,Trim. 4,diciembre,11,405-555-0171,1
89,2010,Trim. 1,enero,25,413-555-0124,1
90,2010,Trim. 1,febrero,13,500-555-0172,1
91,2010,Trim. 1,enero,5,123-555-0167,3
92,2010,Trim. 1,marzo,3,295-555-0161,3
93,2008,Trim. 4,diciembre,20,999-555-0155,3
94,2008,Trim. 4,diciembre,5,786-555-0144,3
95,2008,Trim. 4,diciembre,12,679-555-0113,3
96,2009,Trim. 1,febrero,23,318-555-0137,1
97,2009,Trim. 1,febrero,3,140-555-0132,3
98,2009,Trim. 1,febrero,4,990-555-0172,1
99,2008,Trim. 4,diciembre,30,913-555-0184,1
100,2009,Trim. 1,enero,5,582-555-0178,1
101,2009,Trim. 1,enero,18,180-555-0136,1
102,2008,Trim. 4,noviembre,26,113-555-0173,1
103,2009,Trim. 4,noviembre,29,202-555-0187,1
104,2009,Trim. 4,diciembre,18,283-555-0185,3
105,2009,Trim. 4,diciembre,18,555-555-0113,3
106,2010,Trim. 1,febrero,20,254-555-0114,3
107,2010,Trim. 1,febrero,1,153-555-0166,1
108,2008,Trim. 4,diciembre,1,794-555-0159,1
109,2008,Trim. 4,noviembre,30,333-555-0173,1
110,2008,Trim. 4,diciembre,7,299-555-0113,3
111,2008,Trim. 4,diciembre,10,932-555-0161,3
112,2008,Trim. 4,diciembre,25,172-555-0130,1
113,2008,Trim. 4,diciembre,18,612-555-0171,1
114,2009,Trim. 1,enero,6,637-555-0120,3
115,2009,Trim. 1,enero,13,150-555-0194,1
116,2009,Trim. 1,enero,24,441-555-0195,3
117,2009,Trim. 1,febrero,11,559-555-0175,3
118,2009,Trim. 1,febrero,6,100-555-0174,3
119,2009,Trim. 1,febrero,18,817-555-0186,3
120,2009,Trim. 1,febrero,25,785-555-0132,3
121,2008,Trim. 4,diciembre,26,577-555-0185,3
122,2008,Trim. 4,noviembre,30,943-555-0196,3
123,2008,Trim. 4,noviembre,30,937-555-0137,3
124,2008,Trim. 4,diciembre,19,309-555-0129,3
125,2009,Trim. 1,enero,13,139-555-0120,1
126,2009,Trim. 1,febrero,19,927-555-0168,1
127,2008,Trim. 4,diciembre,27,986-555-0177,1
128,2008,Trim. 4,noviembre,27,147-555-0160,3
129,2008,Trim. 4,diciembre,15,901-555-0125,1
130,2009,Trim. 1,febrero,6,238-555-0116,3
131,2009,Trim. 1,febrero,8,164-555-0114,3
132,2009,Trim. 1,febrero,15,508-555-0129,1
133,2009,Trim. 1,enero,3,454-555-0119,3
134,2009,Trim. 1,enero,7,260-555-0119,1
135,2008,Trim. 4,noviembre,27,115-555-0179,3
136,2009,Trim. 4,diciembre,4,492-555-0174,1
137,2009,Trim. 1,febrero,16,106-555-0120,3
138,2009,Trim. 1,enero,28,587-555-0114,1
139,2009,Trim. 4,diciembre,30,497-555-0181,1
140,2010,Trim. 1,enero,15,129-555-0199,1
141,2010,Trim. 1,enero,17,590-555-0152,3
142,2010,Trim. 1,febrero,25,306-555-0186,1
143,2010,Trim. 1,febrero,6,491-555-0183,1
144,2009,Trim. 1,enero,10,727-555-0112,1
145,2009,Trim. 1,enero,20,352-555-0138,1
146,2008,Trim. 4,noviembre,30,952-555-0178,1
147,2008,Trim. 4,diciembre,19,896-555-0168,3
148,2009,Trim. 1,enero,7,571-555-0179,3
149,2009,Trim. 1,enero,24,118-555-0110,1
150,2009,Trim. 1,febrero,19,296-555-0121,1
151,2009,Trim. 1,febrero,12,751-555-0134,1
152,2009,Trim. 1,enero,25,965-555-0155,1
153,2008,Trim. 4,diciembre,9,319-555-0139,3
154,2008,Trim. 4,diciembre,16,226-555-0197,3
155,2008,Trim. 4,diciembre,28,935-555-0116,3
156,2009,Trim. 1,enero,4,200-555-0117,1
157,2009,Trim. 1,enero,27,696-555-0157,3
158,2009,Trim. 1,febrero,28,991-555-0184,1
159,2009,Trim. 1,febrero,9,110-555-0115,3
160,2009,Trim. 1,enero,14,350-555-0167,1
161,2008,Trim. 4,diciembre,8,669-555-0150,3
162,2008,Trim. 4,diciembre,27,777-555-0141,3
163,2009,Trim. 1,febrero,1,819-555-0198,3
164,2009,Trim. 1,febrero,27,207-555-0192,1
165,2009,Trim. 1,enero,15,200-555-0112,1
166,2009,Trim. 1,febrero,14,552-555-0111,3
167,2008,Trim. 4,noviembre,25,166-555-0162,1
168,2008,Trim. 4,noviembre,30,609-555-0179,3
169,2008,Trim. 4,diciembre,7,639-555-0164,1
170,2008,Trim. 4,diciembre,14,518-555-0199,1
171,2008,Trim. 4,diciembre,26,373-555-0142,3
172,2009,Trim. 1,enero,9,234-555-0169,1
173,2009,Trim. 1,enero,14,241-555-0191,1
174,2009,Trim. 1,enero,20,533-555-0111,1
175,2009,Trim. 1,enero,26,678-555-0110,3
176,2009,Trim. 1,febrero,7,118-555-0177,3
177,2009,Trim. 1,febrero,14,517-555-0122,3
178,2009,Trim. 1,febrero,24,663-555-0172,1
179,2009,Trim. 1,febrero,26,139-555-0131,3
180,2009,Trim. 1,febrero,13,809-555-0133,3
181,2008,Trim. 4,diciembre,2,218-555-0126,3
182,2008,Trim. 4,diciembre,21,143-555-0173,1
183,2009,Trim. 1,enero,15,119-555-0192,1
184,2009,Trim. 1,febrero,2,201-555-0163,1
185,2009,Trim. 1,febrero,21,165-555-0113,1
186,2009,Trim. 1,febrero,1,810-555-0178,1
187,2008,Trim. 4,diciembre,2,286-555-0189,3
188,2008,Trim. 4,diciembre,20,808-555-0172,1
189,2009,Trim. 1,enero,8,540-555-0191,3
190,2009,Trim. 1,enero,26,589-555-0147,1
191,2009,Trim. 1,febrero,19,450-555-0152,1
192,2009,Trim. 1,febrero,26,142-555-0139,3
193,2008,Trim. 4,noviembre,29,668-555-0130,3
194,2008,Trim. 4,diciembre,5,818-555-0192,1
195,2008,Trim. 4,diciembre,10,714-555-0138,3
196,2008,Trim. 4,diciembre,17,793-555-0179,1
197,2008,Trim. 4,diciembre,24,373-555-0137,1
198,2008,Trim. 4,diciembre,28,845-555-0184,3
199,2009,Trim. 1,enero,5,476-555-0119,1
200,2009,Trim. 1,enero,10,158-555-0191,1
201,2009,Trim. 1,enero,22,110-555-0182,1
202,2009,Trim. 1,enero,29,368-555-0113,3
203,2009,Trim. 1,febrero,17,949-555-0174,3
204,2009,Trim. 1,marzo,1,310-555-0117,3
205,2009,Trim. 1,febrero,19,289-555-0196,1
206,2008,Trim. 4,noviembre,25,413-555-0136,1
207,2008,Trim. 4,noviembre,25,332-555-0150,3
208,2009,Trim. 1,enero,1,391-555-0138,1
209,2009,Trim. 1,enero,20,446-555-0118,3
210,2009,Trim. 1,febrero,13,319-555-0126,1
211,2009,Trim. 1,febrero,21,869-555-0125,3
212,2008,Trim. 4,diciembre,2,164-555-0164,3
213,2010,Trim. 1,febrero,16,325-555-0137,3
214,2009,Trim. 1,enero,26,181-555-0124,1
215,2009,Trim. 1,enero,8,147-555-0179,1
216,2008,Trim. 4,diciembre,21,420-555-0173,1
217,2008,Trim. 4,diciembre,28,204-555-0115,1
218,2008,Trim. 4,diciembre,9,910-555-0116,3
219,2009,Trim. 1,enero,15,205-555-0132,1
220,2009,Trim. 1,febrero,2,746-555-0164,3
221,2009,Trim. 1,febrero,27,575-555-0126,1
222,2008,Trim. 4,diciembre,5,992-555-0194,1
223,2009,Trim. 1,enero,19,500-555-0159,1
224,2008,Trim. 4,diciembre,31,148-555-0145,1
225,2009,Trim. 1,febrero,6,438-555-0172,3
226,2009,Trim. 1,febrero,24,313-555-0196,1
227,2009,Trim. 4,noviembre,25,110-555-0112,1
228,2008,Trim. 4,diciembre,7,846-555-0157,1
229,2010,Trim. 1,febrero,9,295-555-0161,1
230,2010,Trim. 1,febrero,26,539-555-0149,3
231,2010,Trim. 1,febrero,28,228-555-0159,1
232,2010,Trim. 1,enero,20,720-555-0158,3
233,2009,Trim. 4,diciembre,14,583-555-0182,3
234,2009,Trim. 1,enero,24,615-555-0110,1
235,2008,Trim. 4,noviembre,29,523-555-0175,1
236,2009,Trim. 1,febrero,18,955-555-0131,3
237,2009,Trim. 1,enero,30,806-555-0136,3
238,2008,Trim. 4,diciembre,25,153-555-0186,3
239,2008,Trim. 4,diciembre,18,522-555-0147,3
240,2008,Trim. 4,diciembre,6,778-555-0141,3
241,2009,Trim. 1,enero,23,646-555-0185,3
242,2008,Trim. 4,diciembre,11,602-555-0194,1
243,2008,Trim. 4,diciembre,30,920-555-0177,1
244,2009,Trim. 1,enero,17,935-555-0199,3
245,2009,Trim. 1,febrero,11,822-555-0145,1
246,2009,Trim. 1,febrero,4,117-555-0185,3
247,2009,Trim. 1,febrero,22,393-555-0186,3
248,2009,Trim. 1,marzo,1,927-555-0150,3
249,2008,Trim. 4,diciembre,18,248-555-0134,3
250,2011,Trim. 1,febrero,18,210-555-0193,3
251,2009,Trim. 1,febrero,3,309-555-0170,3
252,2009,Trim. 1,febrero,21,848-555-0163,1
253,2009,Trim. 4,diciembre,10,916-555-0165,1
254,2009,Trim. 4,diciembre,28,520-555-0177,3
255,2010,Trim. 1,enero,4,230-555-0144,1
256,2010,Trim. 1,enero,16,163-555-0147,1
257,2010,Trim. 1,enero,20,265-555-0195,3
258,2010,Trim. 1,enero,24,842-555-0158,3
259,2010,Trim. 1,marzo,2,151-555-0113,3
260,2010,Trim. 4,noviembre,29,125-555-0196,1
261,2010,Trim. 4,diciembre,18,370-555-0163,3
262,2009,Trim. 1,enero,5,477-555-0132,3
263,2008,Trim. 4,diciembre,4,685-555-0120,3
264,2009,Trim. 1,enero,28,594-555-0110,3
265,2008,Trim. 4,noviembre,27,656-555-0119,3
266,2009,Trim. 1,febrero,16,310-555-0133,3
267,2009,Trim. 1,febrero,9,654-555-0177,3
268,2009,Trim. 1,enero,27,182-555-0134,3
269,2009,Trim. 1,enero,4,166-555-0159,3
270,2009,Trim. 1,enero,10,785-555-0110,1
271,2009,Trim. 1,enero,15,653-555-0144,3
272,2008,Trim. 4,diciembre,16,623-555-0155,3
273,2011,Trim. 1,febrero,8,716-555-0127,1
274,2010,Trim. 4,diciembre,28,238-555-0197,1
275,2011,Trim. 2,mayo,24,257-555-0154,1
276,2011,Trim. 2,mayo,24,883-555-0116,3
277,2011,Trim. 2,mayo,24,517-555-0117,3
278,2011,Trim. 2,mayo,24,922-555-0165,3
279,2011,Trim. 2,mayo,24,664-555-0112,3
280,2011,Trim. 2,mayo,24,340-555-0193,1
281,2011,Trim. 2,mayo,24,330-555-0120,1
282,2011,Trim. 2,mayo,24,185-555-0169,3
283,2011,Trim. 2,mayo,24,740-555-0182,3
284,2012,Trim. 3,septiembre,23,615-555-0153,3
285,2013,Trim. 1,marzo,7,926-555-0182,3
286,2013,Trim. 2,mayo,23,1 (11) 500 555-0190,1
287,2012,Trim. 2,abril,9,775-555-0164,3
288,2013,Trim. 2,mayo,23,1 (11) 500 555-0140,1
289,2012,Trim. 2,mayo,23,1 (11) 500 555-0145,3
290,2012,Trim. 2,mayo,23,1 (11) 500 555-0117,1
291,2015,Trim. 2,abril,15,398-555-0132,1
293,2015,Trim. 2,abril,15,747-555-0171,1
295,2015,Trim. 2,abril,15,334-555-0137,3
297,2015,Trim. 2,abril,15,599-555-0127,1
299,2015,Trim. 2,abril,15,1 (11) 500 555-0132,1
301,2015,Trim. 2,abril,15,991-555-0183,3
303,2015,Trim. 2,abril,15,959-555-0151,1
305,2015,Trim. 2,abril,15,107-555-0138,1
307,2015,Trim. 2,abril,15,158-555-0142,1
309,2015,Trim. 2,abril,15,453-555-0165,1
311,2011,Trim. 3,agosto,1,554-555-0110,3
313,2013,Trim. 2,junio,30,1 (11) 500 555-0198,1
315,2013,Trim. 3,julio,31,678-555-0175,1
317,2011,Trim. 2,mayo,31,571-555-0128,1
319,2011,Trim. 3,agosto,1,440-555-0166,1
321,2012,Trim. 3,julio,31,1 (11) 500 555-0150,1
323,2012,Trim. 3,julio,31,727-555-0115,3
325,2012,Trim. 2,mayo,30,197-555-0143,3
327,2013,Trim. 3,julio,31,492-555-0189,1
329,2013,Trim. 2,mayo,30,331-555-0162,1
331,2012,Trim. 2,junio,30,968-555-0153,3
333,2011,Trim. 3,agosto,1,845-555-0187,1
335,2013,Trim. 1,marzo,30,115-555-0175,3
337,2013,Trim. 2,junio,30,555-555-0162,3
339,2011,Trim. 3,julio,1,695-555-0111,3
341,2011,Trim. 4,octubre,31,447-555-0110,1
343,2011,Trim. 3,julio,1,607-555-0193,1
345,2011,Trim. 3,julio,1,699-555-0155,1
347,2011,Trim. 3,julio,1,855-555-0174,1
349,2013,Trim. 3,julio,31,1 (11) 500 555-0190,1
351,2012,Trim. 2,junio,30,781-555-0199,1
353,2013,Trim. 3,julio,31,178-555-0129,3
355,2011,Trim. 3,julio,1,614-555-0134,3
357,2013,Trim. 2,junio,30,1 (11) 500 555-0181,1
359,2013,Trim. 2,junio,30,327-555-0148,1
361,2011,Trim. 3,agosto,1,922-555-0193,1
363,2013,Trim. 2,junio,30,500-555-0134,3
365,2012,Trim. 2,mayo,30,717-555-0131,3
367,2011,Trim. 3,julio,1,883-555-0177,1
369,2011,Trim. 3,julio,1,226-555-0146,1
371,2011,Trim. 3,julio,1,149-555-0113,1
373,2013,Trim. 2,junio,30,556-555-0145,1
375,2011,Trim. 3,agosto,1,129-555-0110,3
377,2013,Trim. 2,junio,30,1 (11) 500 555-0139,3
379,2013,Trim. 3,julio,31,665-555-0198,3
381,2012,Trim. 3,julio,31,818-555-0171,3
383,2013,Trim. 3,julio,31,1 (11) 500 555-0187,3
385,2012,Trim. 3,julio,31,221-555-0167,1
387,2011,Trim. 4,octubre,31,121-555-0157,3
389,2012,Trim. 3,agosto,30,234-555-0112,3
391,2011,Trim. 2,mayo,31,583-555-0130,3
393,2013,Trim. 3,julio,31,790-555-0112,3
395,2011,Trim. 3,agosto,1,780-555-0114,3
397,2012,Trim. 3,julio,31,640-555-0189,1
399,2011,Trim. 3,agosto,1,816-555-0118,3
401,2012,Trim. 2,mayo,30,134-555-0182,1
403,2012,Trim. 2,junio,30,752-555-0115,3
405,2012,Trim. 4,octubre,30,241-555-0112,1
407,2013,Trim. 3,julio,31,1 (11) 500 555-0151,3
409,2013,Trim. 2,junio,30,1 (11) 500 555-0168,3
411,2011,Trim. 3,julio,1,584-555-0192,3
413,2012,Trim. 2,junio,30,726-555-0191,1
415,2012,Trim. 2,mayo,30,1 (11) 500 555-0187,1
417,2011,Trim. 4,octubre,1,257-555-0119,3
419,2013,Trim. 2,junio,30,1 (11) 500 555-0112,3
421,2012,Trim. 2,junio,30,916-555-0133,1
423,2012,Trim. 2,junio,30,115-555-0170,3
425,2013,Trim. 2,junio,30,1 (11) 500 555-0113,3
427,2012,Trim. 2,junio,30,396-555-0187,1
429,2013,Trim. 1,febrero,28,521-555-0195,3
431,2012,Trim. 3,julio,31,1 (11) 500 555-0132,1
433,2012,Trim. 2,junio,30,1 (11) 500 555-0127,3
435,2013,Trim. 2,junio,30,1 (11) 500 555-0140,1
437,2011,Trim. 3,julio,1,277-555-0169,1
439,2011,Trim. 2,mayo,31,843-555-0175,1
441,2013,Trim. 3,julio,31,156-555-0126,1
443,2013,Trim. 3,julio,31,608-555-0114,3
445,2013,Trim. 3,julio,31,1 (11) 500 555-0163,3
447,2011,Trim. 2,mayo,31,973-555-0112,1
449,2013,Trim. 3,julio,31,789-555-0189,3
451,2011,Trim. 4,octubre,1,528-555-0183,1
453,2011,Trim. 4,octubre,1,599-555-0160,3
455,2013,Trim. 2,junio,30,1 (11) 500 555-0177,1
457,2013,Trim. 1,marzo,30,911-555-0153,1
459,2011,Trim. 3,julio,1,640-555-0198,3
461,2012,Trim. 2,mayo,30,813-555-0173,1
463,2013,Trim. 3,julio,31,519-555-0151,3
465,2011,Trim. 3,julio,1,156-555-0111,1
467,2013,Trim. 2,mayo,30,144-555-0175,3
469,2011,Trim. 3,julio,1,795-555-0116,3
471,2012,Trim. 3,julio,31,449-555-0176,3
473,2012,Trim. 2,junio,30,384-555-0169,3
475,2013,Trim. 2,junio,30,471-555-0181,1
477,2011,Trim. 3,agosto,1,280-555-0124,1
479,2013,Trim. 3,julio,31,609-555-0186,1
481,2013,Trim. 2,junio,30,1 (11) 500 555-0136,1
483,2011,Trim. 2,mayo,31,992-555-0111,3
485,2011,Trim. 2,mayo,31,176-555-0136,3
487,2011,Trim. 2,mayo,31,264-555-0143,3
489,2013,Trim. 2,junio,30,972-555-0163,1
491,2012,Trim. 3,julio,31,357-555-0161,1
493,2011,Trim. 3,julio,1,121-555-0121,3
495,2011,Trim. 2,mayo,31,126-555-0172,1
497,2011,Trim. 3,julio,1,763-555-0145,3
499,2011,Trim. 3,agosto,1,838-555-0147,1
501,2013,Trim. 3,julio,31,332-555-0142,3
503,2012,Trim. 3,julio,31,688-555-0113,3
505,2012,Trim. 3,julio,31,383-555-0117,3
507,2013,Trim. 2,junio,30,1 (11) 500 555-0122,1
509,2012,Trim. 3,julio,31,371-555-0143,1
511,2011,Trim. 3,agosto,1,844-555-0112,3
513,2013,Trim. 3,agosto,30,954-555-0145,3
515,2012,Trim. 3,julio,31,229-555-0114,3
517,2011,Trim. 2,mayo,31,340-555-0131,3
519,2011,Trim. 3,agosto,1,545-555-0183,3
521,2011,Trim. 3,julio,1,962-555-0166,1
523,2011,Trim. 4,octubre,1,494-555-0134,3
525,2012,Trim. 3,julio,31,163-555-0155,3
527,2011,Trim. 4,octubre,1,162-555-0166,1
529,2013,Trim. 2,junio,30,513-555-0149,3
531,2013,Trim. 2,junio,30,1 (11) 500 555-0184,1
533,2012,Trim. 2,mayo,30,1 (11) 500 555-0179,1
535,2011,Trim. 4,octubre,1,525-555-0174,3
537,2013,Trim. 2,mayo,30,1 (11) 500 555-0146,1
539,2012,Trim. 2,junio,30,689-555-0130,3
541,2013,Trim. 2,mayo,30,575-555-0189,3
543,2011,Trim. 3,agosto,1,496-555-0150,3
545,2012,Trim. 2,junio,30,658-555-0146,3
547,2012,Trim. 2,mayo,30,428-555-0162,3
549,2013,Trim. 2,mayo,30,1 (11) 500 555-0122,3
551,2011,Trim. 2,mayo,31,644-555-0114,3
553,2013,Trim. 2,junio,30,581-555-0189,3
555,2012,Trim. 2,junio,30,128-555-0148,1
557,2012,Trim. 2,mayo,30,383-555-0155,3
559,2012,Trim. 3,julio,31,249-555-0172,3
561,2012,Trim. 2,junio,30,817-555-0114,3
563,2013,Trim. 2,mayo,30,1 (11) 500 555-0183,3
565,2013,Trim. 3,julio,31,476-555-0184,1
567,2012,Trim. 2,mayo,30,315-555-0166,1
569,2012,Trim. 2,mayo,30,148-555-0149,1
571,2011,Trim. 3,julio,1,857-555-0187,3
573,2011,Trim. 2,mayo,31,652-555-0132,1
575,2012,Trim. 3,julio,31,710-555-0116,1
577,2013,Trim. 3,julio,31,1 (11) 500 555-0136,3
579,2013,Trim. 2,junio,30,251-555-0172,1
581,2013,Trim. 2,junio,30,1 (11) 500 555-0129,1
583,2011,Trim. 2,mayo,31,131-555-0171,1
585,2011,Trim. 4,octubre,1,164-555-0147,3
587,2013,Trim. 3,julio,31,1 (11) 500 555-0138,3
589,2012,Trim. 2,mayo,30,1 (11) 500 555-0199,1
591,2011,Trim. 2,mayo,31,726-555-0155,1
593,2012,Trim. 3,septiembre,30,1 (11) 500 555-0122,3
595,2013,Trim. 2,junio,30,1 (11) 500 555-0118,3
597,2012,Trim. 2,junio,30,145-555-0152,1
599,2011,Trim. 3,julio,1,827-555-0143,3
601,2012,Trim. 2,junio,30,1 (11) 500 555-0118,1
603,2012,Trim. 2,junio,30,377-555-0158,1
605,2012,Trim. 2,mayo,30,1 (11) 500 555-0190,3
607,2011,Trim. 3,julio,1,700-555-0155,1
609,2012,Trim. 3,septiembre,30,756-555-0117,3
611,2011,Trim. 3,agosto,1,635-555-0126,3
613,2013,Trim. 2,mayo,30,118-555-0131,3
615,2011,Trim. 3,julio,1,965-555-0112,3
617,2013,Trim. 3,julio,31,990-555-0141,1
619,2012,Trim. 3,septiembre,30,488-555-0130,3
621,2012,Trim. 2,junio,30,112-555-0191,3
623,2013,Trim. 3,julio,31,1 (11) 500 555-0140,1
625,2013,Trim. 3,julio,31,193-555-0116,1
627,2012,Trim. 2,junio,30,1 (11) 500 555-0120,1
629,2013,Trim. 2,mayo,30,716-555-0167,3
631,2011,Trim. 3,agosto,1,646-555-0137,3
633,2012,Trim. 2,junio,30,268-555-0184,3
635,2013,Trim. 2,mayo,30,1 (11) 500 555-0163,3
637,2012,Trim. 3,julio,31,620-555-0117,1
639,2012,Trim. 2,mayo,30,944-555-0148,3
641,2011,Trim. 3,agosto,1,279-555-0130,1
643,2013,Trim. 3,julio,31,244-555-0112,1
645,2012,Trim. 2,junio,30,1 (11) 500 555-0191,3
647,2011,Trim. 3,agosto,1,180-555-0114,1
649,2012,Trim. 2,junio,30,353-555-0188,3
651,2013,Trim. 2,mayo,30,362-555-0162,1
653,2011,Trim. 3,agosto,1,242-555-0181,1
655,2013,Trim. 2,junio,30,695-555-0161,3
657,2012,Trim. 3,julio,31,1 (11) 500 555-0178,3
659,2013,Trim. 3,julio,31,644-555-0111,3
661,2011,Trim. 2,mayo,31,351-555-0131,3
663,2012,Trim. 2,mayo,30,301-555-0128,1
665,2013,Trim. 2,mayo,30,1 (11) 500 555-0134,1
667,2011,Trim. 3,agosto,1,127-555-0124,1
669,2013,Trim. 2,mayo,30,448-555-0179,3
671,2011,Trim. 3,agosto,1,223-555-0184,1
673,2012,Trim. 2,mayo,30,708-555-0169,3
675,2013,Trim. 3,julio,31,1 (11) 500 555-0180,1
677,2011,Trim. 3,julio,1,117-555-0173,3
679,2011,Trim. 3,agosto,1,514-555-0128,1
681,2013,Trim. 3,julio,31,789-555-0184,1
683,2012,Trim. 2,mayo,30,344-555-0181,3
685,2011,Trim. 3,agosto,1,264-555-0164,3
687,2013,Trim. 2,mayo,30,1 (11) 500 555-0181,1
689,2013,Trim. 2,junio,30,1 (11) 500 555-0142,1
691,2012,Trim. 2,mayo,30,727-555-0190,3
693,2011,Trim. 3,agosto,1,273-555-0181,1
695,2013,Trim. 3,julio,31,429-555-0145,1
697,2011,Trim. 2,mayo,31,334-555-0146,3
699,2012,Trim. 2,junio,30,927-555-0198,3
701,2012,Trim. 3,julio,31,221-555-0141,3
703,2011,Trim. 3,julio,1,539-555-0142,1
705,2013,Trim. 2,junio,30,1 (11) 500 555-0176,3
707,2013,Trim. 2,junio,30,206-555-0195,1
709,2012,Trim. 2,junio,30,250-555-0127,1
711,2013,Trim. 2,junio,30,661-555-0168,3
713,2011,Trim. 4,octubre,1,426-555-0181,1
715,2011,Trim. 4,octubre,31,159-555-0190,3
717,2013,Trim. 2,mayo,30,1 (11) 500 555-0140,3
719,2013,Trim. 2,mayo,30,292-555-0128,1
721,2011,Trim. 2,mayo,31,987-555-0126,3
723,2011,Trim. 3,agosto,1,397-555-0144,3
725,2011,Trim. 4,octubre,31,119-555-0144,3
