BusinessEntityID,EmailAddress,EmailAddressID,Año,Trimestre,Mes,Día,rowguid
112,john1@adventure-works.com,112,2008,Trim. 4,diciembre,25,A52A0702-28F8-4849-AE3A-30AEC008F2EC
113,linda0@adventure-works.com,113,2008,Trim. 4,diciembre,18,1E6331CF-DB0D-46A6-8B68-970DE3C28755
114,mindaugas0@adventure-works.com,114,2009,Trim. 1,enero,6,415EC347-556E-4142-AA46-AE927320B893
115,angela0@adventure-works.com,115,2009,Trim. 1,enero,13,FA46B7F9-0269-4A18-B34D-8D31829AE726
116,michael2@adventure-works.com,116,2009,Trim. 1,enero,24,E136B945-0D14-4C36-93A1-D0EBEF70E877
117,chad0@adventure-works.com,117,2009,Trim. 1,febrero,11,D9C889E6-C8BB-44E2-92B3-BD268596D959
118,don0@adventure-works.com,118,2009,Trim. 1,febrero,6,28ABCFF5-6178-4BA0-B610-D459D03E3D8E
119,michael4@adventure-works.com,119,2009,Trim. 1,febrero,18,A8B13899-CAD3-4A5D-B459-19F9256685B3
120,kitti0@adventure-works.com,120,2009,Trim. 1,febrero,25,C8FE6E0F-7C9E-47AC-9038-6C362A6067D0
121,pilar0@adventure-works.com,121,2008,Trim. 4,diciembre,26,A248F59F-CD52-4CB8-9E23-0E14BA620432
122,susan0@adventure-works.com,122,2008,Trim. 4,noviembre,30,2C6E99E1-2715-4B0C-A196-F1BE204605EF
123,vamsi0@adventure-works.com,123,2008,Trim. 4,noviembre,30,73370349-E37E-4CBB-89AC-CE01A073A2CA
124,kim0@adventure-works.com,124,2008,Trim. 4,diciembre,19,CCEF1782-7C06-4EE7-BC12-D2F91B5DEEAA
125,matthias0@adventure-works.com,125,2009,Trim. 1,enero,13,2BE2A87A-9EB9-45CB-99F3-E3D703FB7AAA
126,jimmy0@adventure-works.com,126,2009,Trim. 1,febrero,19,FB8DB7F1-40DE-4110-A29F-D2CFD747E408
127,david4@adventure-works.com,127,2008,Trim. 4,diciembre,27,7AD791C4-08ED-4983-A1BD-FB6E2283233D
128,paul0@adventure-works.com,128,2008,Trim. 4,noviembre,27,7FC86BA7-74DA-48AA-803B-C02E88CAE392
129,gary0@adventure-works.com,129,2008,Trim. 4,diciembre,15,71BD0596-FDF3-42AE-A4AE-CF9DDECA5535
130,rob1@adventure-works.com,130,2009,Trim. 1,febrero,6,F4150104-2A1F-4895-9D1D-3C9B324E1C45
131,baris0@adventure-works.com,131,2009,Trim. 1,febrero,8,9BF4275A-C36D-4FDA-B37A-F825E3D5CE5E
132,nicole0@adventure-works.com,132,2009,Trim. 1,febrero,15,CE6A8412-F496-4728-B822-A92DBA863A5F
133,michael1@adventure-works.com,133,2009,Trim. 1,enero,3,F0508FFC-6529-4979-B01B-47355264CFD0
134,eric0@adventure-works.com,134,2009,Trim. 1,enero,7,B5AD48A5-D1B1-484C-A96A-6026DC4FC276
135,ivo0@adventure-works.com,135,2008,Trim. 4,noviembre,27,65042EB4-D07A-487D-A8A4-5DDA60695F13
136,sylvester0@adventure-works.com,136,2009,Trim. 4,diciembre,4,6C757321-9920-4FB6-8587-A53C64160A94
137,anibal0@adventure-works.com,137,2009,Trim. 1,febrero,16,3C11EF13-E40F-4AC3-B987-97C05E17FC4F
138,samantha0@adventure-works.com,138,2009,Trim. 1,enero,28,9CE31637-7383-45AD-91C1-0E7FB13A3AC1
139,hung-fu0@adventure-works.com,139,2009,Trim. 4,diciembre,30,26BC25F4-CD70-4395-89B4-3FA838E88822
140,prasanna0@adventure-works.com,140,2010,Trim. 1,enero,15,92E91660-BE6C-4CB7-B4D8-1B71324E9944
141,min0@adventure-works.com,141,2010,Trim. 1,enero,17,53613A7B-6203-4852-B28A-A6E1BEC99FA1
142,olinda0@adventure-works.com,142,2010,Trim. 1,febrero,25,17054C6E-2BFA-48F1-88E1-5589CC5BF366
143,krishna0@adventure-works.com,143,2010,Trim. 1,febrero,6,72F099F6-4748-40DA-993C-69C8EDF76B18
144,paul1@adventure-works.com,144,2009,Trim. 1,enero,10,F50159DF-1A39-4BBD-BA72-B380C9D4921D
145,cynthia0@adventure-works.com,145,2009,Trim. 1,enero,20,EA9C577E-A7C6-446D-8819-42417B43CA41
146,jianshuo0@adventure-works.com,146,2008,Trim. 4,noviembre,30,D123542F-9C58-4C06-8FC0-A78E1FB4D50B
147,sandra0@adventure-works.com,147,2008,Trim. 4,diciembre,19,F3FD8758-C157-4082-93CF-622DE451832D
148,jason0@adventure-works.com,148,2009,Trim. 1,enero,7,C55B86A1-167E-4B62-9DE2-0376D28268BD
149,andy0@adventure-works.com,149,2009,Trim. 1,enero,24,560FC0D8-C75A-486C-BC8A-A1E59FCB755C
150,michael5@adventure-works.com,150,2009,Trim. 1,febrero,19,C6730986-826F-4137-BE87-47F23B786CFA
151,rostislav0@adventure-works.com,151,2009,Trim. 1,febrero,12,ACA69D01-EF31-4A3E-976F-7DA2E9F8A929
152,yuhong0@adventure-works.com,152,2009,Trim. 1,enero,25,DA2F2741-3E83-46AE-9FC3-723E34BDD551
153,hanying0@adventure-works.com,153,2008,Trim. 4,diciembre,9,F3E0368B-9B95-4775-839A-003E24BA7A23
154,raymond0@adventure-works.com,154,2008,Trim. 4,diciembre,16,5E32288E-1EE6-4153-9F47-9435BC009AF9
155,fadi0@adventure-works.com,155,2008,Trim. 4,diciembre,28,25864705-1B1F-40A5-AB2F-CCD48EEA5F1F
156,lane0@adventure-works.com,156,2009,Trim. 1,enero,4,E98104A0-7F15-4938-AADC-E0EE658DFBF3
157,linda1@adventure-works.com,157,2009,Trim. 1,enero,27,26A4317C-A8C3-43FA-8CD2-84D2844DBED1
158,shelley0@adventure-works.com,158,2009,Trim. 1,febrero,28,D35879EB-E373-4359-B027-76072A6BE5F6
159,terrence0@adventure-works.com,159,2009,Trim. 1,febrero,9,63D4EA48-73A9-4108-BF3E-14450C6DD6CE
160,jeff0@adventure-works.com,160,2009,Trim. 1,enero,14,0B40A5ED-51A4-4EE8-A486-FF4CD200CA30
161,kirk0@adventure-works.com,161,2008,Trim. 4,diciembre,8,D5A2BE6D-796A-465D-A0AE-C5CF1C8C0451
162,laura0@adventure-works.com,162,2008,Trim. 4,diciembre,27,23BC5DB0-9C81-4C9C-82E0-B194C5467283
163,alex0@adventure-works.com,163,2009,Trim. 1,febrero,1,AE39B8CC-002F-46F9-AFB9-E4A788073119
164,andrew1@adventure-works.com,164,2009,Trim. 1,febrero,27,F156D627-1613-45A9-8299-53AEED98C0F8
165,chris0@adventure-works.com,165,2009,Trim. 1,enero,15,01A22557-82EE-4C99-A8E8-5D96A1DF5649
166,jack0@adventure-works.com,166,2009,Trim. 1,febrero,14,B29DCF5D-0D4F-4B4E-AA9B-14D239D5C5B1
167,david1@adventure-works.com,167,2008,Trim. 4,noviembre,25,38000144-1D21-4E05-A5C2-B4CD24D3F14A
168,garrett0@adventure-works.com,168,2008,Trim. 4,noviembre,30,FED3D441-6917-4594-ADAF-5E323FF2F57B
169,susan1@adventure-works.com,169,2008,Trim. 4,diciembre,7,E30D5553-CF21-470A-BD69-05FFA933D816
170,george0@adventure-works.com,170,2008,Trim. 4,diciembre,14,0008836B-5ED3-4E25-92AE-A29AFE64403D
171,david3@adventure-works.com,171,2008,Trim. 4,diciembre,26,5CF45166-F1BC-4D60-A460-CDBD1A706904
172,marc0@adventure-works.com,172,2009,Trim. 1,enero,9,7740C361-1681-47B9-87D7-A83AFE8F7E15
173,eugene0@adventure-works.com,173,2009,Trim. 1,enero,14,60E866CF-3A9B-456F-9000-DD8526CA2A61
174,benjamin0@adventure-works.com,174,2009,Trim. 1,enero,20,18B45A3C-4CAC-4AB4-97A1-A58FBCC705B5
175,reed0@adventure-works.com,175,2009,Trim. 1,enero,26,C9283591-9FB8-465E-A37C-F46ABC6DF368
176,david7@adventure-works.com,176,2009,Trim. 1,febrero,7,E779FD9B-4945-4E48-8F0E-90F1589CB622
177,russell1@adventure-works.com,177,2009,Trim. 1,febrero,14,93D5D09D-D29A-4B0A-A700-486D38D8EE1B
178,john3@adventure-works.com,178,2009,Trim. 1,febrero,24,A23974C4-7BC0-42EC-80F7-FF17878BA8C9
179,jan0@adventure-works.com,179,2009,Trim. 1,febrero,26,E17475CD-E9CF-4572-B787-9797A064BCA7
180,katie0@adventure-works.com,180,2009,Trim. 1,febrero,13,92393B68-D7FD-4228-9334-D102037EC737
181,michael0@adventure-works.com,181,2008,Trim. 4,diciembre,2,CC7724F9-A364-4D89-9EA9-4AFA68F2D887
182,nitin0@adventure-works.com,182,2008,Trim. 4,diciembre,21,5C03E261-C522-4793-A42D-8F9E6EF7E8E4
183,barbara0@adventure-works.com,183,2009,Trim. 1,enero,15,AFDD9E4B-DC8D-4A24-9D75-4897C2D59B00
184,john2@adventure-works.com,184,2009,Trim. 1,febrero,2,195E8507-2957-4363-9B1B-F9CC65E6E2E9
185,stefen0@adventure-works.com,185,2009,Trim. 1,febrero,21,04DAD7BD-1141-4E0F-A6FE-6C17B146D407
186,shane0@adventure-works.com,186,2009,Trim. 1,febrero,1,CF891774-A3A0-4D0E-9BAE-841A38F27322
187,yvonne0@adventure-works.com,187,2008,Trim. 4,diciembre,2,3DEADEE4-4539-4166-9F40-1D111A92B905
188,douglas0@adventure-works.com,188,2008,Trim. 4,diciembre,20,A1FE3A50-8634-46E3-901E-80ED0827FCF8
189,janeth0@adventure-works.com,189,2009,Trim. 1,enero,8,FAD439F5-AE4B-4A4E-9D9A-2C564DEA2D3B
190,robert0@adventure-works.com,190,2009,Trim. 1,enero,26,255D5EC2-BA9D-4AF0-BD08-0CCBD4363F84
191,lionel0@adventure-works.com,191,2009,Trim. 1,febrero,19,BC9E847C-A828-4C55-85A7-13ACDE25319D
192,brenda0@adventure-works.com,192,2009,Trim. 1,febrero,26,38CBE598-AFBA-406B-BC96-C8A998E06E61
193,alejandro0@adventure-works.com,193,2008,Trim. 4,noviembre,29,9A5BC0F7-B72D-4778-AA68-0F7DA65A6875
194,fred0@adventure-works.com,194,2008,Trim. 4,diciembre,5,FDF85518-A1BB-466A-81C4-C12B70281C74
195,kevin1@adventure-works.com,195,2008,Trim. 4,diciembre,10,2096C8C9-1A5D-42BD-912C-9DEDFE84BEA9
196,shammi0@adventure-works.com,196,2008,Trim. 4,diciembre,17,F62FC889-EADF-48C4-B4C2-3DEFF636A677
197,rajesh0@adventure-works.com,197,2008,Trim. 4,diciembre,24,4E455079-DEFF-4A8A-9A94-35168D311850
198,lorraine0@adventure-works.com,198,2008,Trim. 4,diciembre,28,6701AC9C-0A12-4D7D-A56D-CE293B1B36DE
199,paula1@adventure-works.com,199,2009,Trim. 1,enero,5,EF3CB6A7-63B1-4F7C-8919-2D0467725F82
200,frank0@adventure-works.com,200,2009,Trim. 1,enero,10,BF623E0D-E3AC-4AC9-AFFB-A72D45AC2020
201,brian0@adventure-works.com,201,2009,Trim. 1,enero,22,09ED7612-AF5C-4F65-A246-59BFDDE3AC18
202,tawana0@adventure-works.com,202,2009,Trim. 1,enero,29,9B144E61-558D-4733-8EF8-8F86EA039033
203,ken1@adventure-works.com,203,2009,Trim. 1,febrero,17,5C1E03FB-E6E3-4A1F-870D-ACC1A41041B9
204,gabe0@adventure-works.com,204,2009,Trim. 1,marzo,1,341001CF-5DB8-47BE-90C5-CC02FFC75327
205,lori0@adventure-works.com,205,2009,Trim. 1,febrero,19,224094FB-E29B-4E38-B97D-4D03C73D7411
206,stuart0@adventure-works.com,206,2008,Trim. 4,noviembre,25,2001AE39-84D7-4358-8F52-972C1CCE606D
207,greg0@adventure-works.com,207,2008,Trim. 4,noviembre,25,D3BFE26D-BCCB-441F-8C01-70450E8D49D1
208,scott0@adventure-works.com,208,2009,Trim. 1,enero,1,F18078DB-2B82-4DCC-AFE6-2EC796261F29
209,kathie0@adventure-works.com,209,2009,Trim. 1,enero,20,B547C41B-46F8-41EA-8DEA-93183D4F615D
210,belinda0@adventure-works.com,210,2009,Trim. 1,febrero,13,1B5F281C-CAA5-461F-BB25-5593140D6AA8
211,hazem0@adventure-works.com,211,2009,Trim. 1,febrero,21,0C80D162-0D8A-452E-9EF5-F6C6FEE819A3
212,peng0@adventure-works.com,212,2008,Trim. 4,diciembre,2,16055E23-B9D0-44C4-8F2C-C9F66DF1E8BE
213,sootha0@adventure-works.com,213,2010,Trim. 1,febrero,16,8EA38CF4-C5A1-44AC-B50B-1D53B41D535C
214,andreas0@adventure-works.com,214,2009,Trim. 1,enero,26,30C1D4A4-4F13-4E01-AF3C-6D2B2B020300
215,mark0@adventure-works.com,215,2009,Trim. 1,enero,8,38604F61-C13A-464A-B36D-E57A313D96BD
216,sean0@adventure-works.com,216,2008,Trim. 4,diciembre,21,A95D2B4F-0648-44F6-A14D-89596AAE3430
217,zainal0@adventure-works.com,217,2008,Trim. 4,diciembre,28,8967CCF9-F3B8-410F-8766-3D0510151946
218,tengiz0@adventure-works.com,218,2008,Trim. 4,diciembre,9,39945494-59D2-4E4F-B7B6-E56748800BAE
219,sean1@adventure-works.com,219,2009,Trim. 1,enero,15,8DDFEF78-B2E0-4856-BCB5-62B81E925D55
220,karen0@adventure-works.com,220,2009,Trim. 1,febrero,2,B327A40F-0B0C-4391-92F3-3B66F4D23A5E
221,chris1@adventure-works.com,221,2009,Trim. 1,febrero,27,DE415A78-3EAE-40E8-B130-209A9521506F
222,ascott0@adventure-works.com,222,2008,Trim. 4,diciembre,5,96AA826F-2432-48DE-A741-BD4139072F12
223,sairaj0@adventure-works.com,223,2009,Trim. 1,enero,19,3E7C49C9-5F81-48A7-80C1-8BD0F7FAD02E
224,william0@adventure-works.com,224,2008,Trim. 4,diciembre,31,8992BA60-7FAE-4A9A-B92B-770708E99A64
225,alan0@adventure-works.com,225,2009,Trim. 1,febrero,6,0075D670-034C-4F1B-A868-F8EEFF3175C5
226,brian1@adventure-works.com,226,2009,Trim. 1,febrero,24,1418A00D-B326-485F-9869-2EA41F6DA2E8
227,gary1@adventure-works.com,227,2009,Trim. 4,noviembre,25,CD84EC01-4AA3-4B59-A527-20058FBA9DB4
228,christian0@adventure-works.com,228,2008,Trim. 4,diciembre,7,4802C7E4-C7DB-4F50-8F5A-9905B73B12E4
229,lori1@adventure-works.com,229,2010,Trim. 1,febrero,9,07CF89A2-3E38-40C8-91B0-9E9F41B3652C
